date,in_window,trade_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,residual,daily_pnl_inr,cum_pnl_inr
2022-06-30,True,T05,0.0,1451837.93,0.0,0.0,0.0,-34711.48,0.0,-14692.64,-0.0,1402433.81,41903680.97
2022-06-30,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,-0.0,-72632.91,11309495.79
2022-06-30,True,T07,0.0,-943803.97,0.0,111532.01,0.0,44432.18,0.0,646188.28,-0.0,-141651.5,8006983.55
2022-06-30,True,T08,0.0,-138499.96,0.0,99139.57,0.0,311987.22,0.0,506208.28,-0.0,778835.11,8948148.05
2022-07-01,True,BOOK,0.0,275549.9,0.0,210284.5,0.0,-89332.41,0.0,-1724942.69,0.0,-1328440.71,213852330.06
2022-07-01,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9356.4,-0.0,9356.4,56992490.01
2022-07-01,True,T02,0.0,0.0,0.0,0.0,0.0,9533.35,0.0,65222.56,0.0,74755.92,50027229.49
2022-07-01,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-01,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9859324.53
2022-07-01,True,T05,0.0,533156.4,0.0,0.0,0.0,35954.47,0.0,-18518.47,-0.0,550592.41,42454273.38
2022-07-01,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,11236862.88
2022-07-01,True,T07,0.0,-224190.41,0.0,111327.09,0.0,-17018.6,0.0,-998630.52,0.0,-1128512.44,6878471.11
2022-07-01,True,T08,0.0,-33416.09,0.0,98957.41,0.0,-117801.63,0.0,-684017.94,-0.0,-736278.26,8211869.79
2022-07-04,True,BOOK,-312136.58,-1738661.92,0.0,641057.82,0.0,-175813.66,0.0,767940.04,0.0,-817614.29,213034715.77
2022-07-04,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28069.19,0.0,28069.19,57020559.2
2022-07-04,True,T02,0.0,0.0,0.0,0.0,0.0,25822.81,0.0,196877.39,0.0,222700.2,50249929.69
2022-07-04,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-04,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77165.46,0.0,-77165.46,9782159.07
2022-07-04,True,T05,-312136.58,-2928051.03,0.0,0.0,0.0,163737.51,0.0,29685.42,0.0,-3046764.68,39407508.7
2022-07-04,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217898.72,0.0,-217898.72,11018964.15
2022-07-04,True,T07,0.0,822450.68,0.0,339383.55,0.0,-46237.98,0.0,419466.26,0.0,1535062.51,8413533.62
2022-07-04,True,T08,0.0,366938.43,0.0,301674.27,0.0,-319135.99,0.0,388905.97,0.0,738382.67,8950252.46
2022-07-05,True,BOOK,0.0,2976431.49,0.0,208799.81,0.0,441745.54,0.0,-8899705.23,-0.0,-5272728.39,207761987.38
2022-07-05,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-05,True,T02,0.0,0.0,0.0,0.0,0.0,-116925.81,0.0,150922.43,0.0,33996.62,50283926.31
2022-07-05,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-05,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9756437.25
2022-07-05,True,T05,0.0,4726669.31,0.0,0.0,0.0,-1095019.44,0.0,-7251803.58,0.0,-3620153.72,35787354.99
2022-07-05,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10946331.25
2022-07-05,True,T07,0.0,-1005184.46,0.0,110541.08,0.0,209105.74,0.0,-964942.49,-0.0,-1650480.14,6763053.49
2022-07-05,True,T08,0.0,-745053.35,0.0,98258.74,0.0,1444585.06,0.0,-735526.88,-0.0,62263.57,9012516.04
2022-07-06,True,BOOK,0.0,-1567928.27,0.0,207920.86,0.0,-1322212.86,0.0,1734454.99,-0.0,-947765.28,206814222.1
2022-07-06,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-06,True,T02,0.0,0.0,0.0,0.0,0.0,2018.96,0.0,37800.65,0.0,39819.61,50323745.92
2022-07-06,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-06,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9730715.43
2022-07-06,True,T05,0.0,-995110.11,0.0,0.0,0.0,-459024.77,0.0,-31053.62,0.0,-1485188.51,34302166.48
2022-07-06,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10873698.34
2022-07-06,True,T07,0.0,-281674.91,0.0,110075.75,0.0,-107152.41,0.0,1008225.99,-0.0,729474.42,7492527.91
2022-07-06,True,T08,0.0,-291143.24,0.0,97845.11,0.0,-758054.63,0.0,817836.69,-0.0,-133516.07,8878999.96
2022-07-07,True,BOOK,0.0,4893858.95,0.0,213255.74,0.0,216368.55,0.0,-1200771.5,0.0,4122711.74,210936933.84
2022-07-07,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-07,True,T02,0.0,0.0,0.0,0.0,0.0,-365.52,0.0,37806.54,-0.0,37441.03,50361186.95
2022-07-07,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-07,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9704993.61
2022-07-07,True,T05,0.0,2459236.68,0.0,0.0,0.0,57721.53,0.0,-24332.31,0.0,2492625.89,36794792.38
2022-07-07,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10801065.43
2022-07-07,True,T07,0.0,1048637.93,0.0,112900.1,0.0,20511.7,0.0,-614485.88,-0.0,567563.85,8060091.75
2022-07-07,True,T08,0.0,1385984.35,0.0,100355.64,0.0,138500.85,0.0,-501405.13,0.0,1123435.7,10002435.66
2022-07-08,True,BOOK,0.0,-1202769.74,0.0,211392.9,0.0,257590.65,0.0,-747340.28,0.0,-1481126.47,209455807.37
2022-07-08,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-08,True,T02,0.0,0.0,0.0,0.0,0.0,-517.91,0.0,37802.57,-0.0,37284.66,50398471.61
2022-07-08,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-08,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25721.82,0.0,-25721.82,9679271.79
2022-07-08,True,T05,0.0,-372135.41,0.0,0.0,0.0,42671.21,0.0,-20512.54,0.0,-349976.74,36444815.63
2022-07-08,True,T06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72632.91,0.0,-72632.91,10728432.52
2022-07-08,True,T07,0.0,-318395.04,0.0,111913.89,0.0,16888.23,0.0,-361791.34,0.0,-551384.27,7508707.49
2022-07-08,True,T08,0.0,-512239.28,0.0,99479.01,0.0,198549.11,0.0,-304484.24,-0.0,-518695.4,9483740.26
2022-07-11,True,BOOK,0.0,900267.59,0.0,638790.74,0.0,828544.35,0.0,-2651642.78,-0.0,-284040.1,209171767.27
2022-07-11,True,T01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57020559.2
2022-07-11,True,T02,0.0,0.0,0.0,0.0,0.0,-1922.39,0.0,113406.84,0.0,111484.45,50509956.06
2022-07-11,True,T03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191808.86
2022-07-11,True,T04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77165.46,0.0,-77165.46,9602106.33
2022-07-11,True,T05,0.0,0.0,0.0,0.0,0.0,-4841.02,0.0,-23587.95,-0.0,-28428.97,36416386.66
