date,lme_cash_usd_t,usdinr,unit_lme_pnl_inr,unit_fx_pnl_inr,unit_lme_var_garch_inr,unit_lme_var_hist250_inr,unit_lme_var_hist60_inr,unit_lme_var_garch_t_inr,unit_lme_exception_garch,unit_lme_exception_hist250,unit_lme_exception_hist60,unit_lme_exception_garch_t,unit_fx_var_garch_inr,unit_fx_var_hist250_inr,unit_fx_var_hist60_inr,unit_fx_var_garch_t_inr,unit_fx_exception_garch,unit_fx_exception_hist250,unit_fx_exception_hist60,unit_fx_exception_garch_t
2022-03-17,3288.0,75.8696,-1365652.8,-336100.0,16526664.68,7884780.34,11258595.34,15686823.57,False,False,False,False,453965.58,386026.39,423933.87,454663.49,False,False,False,False
2022-03-18,3380.5,76.1106,7040230.5,241000.0,14980269.24,7770370.45,11110060.51,14165494.19,False,False,False,False,462335.03,385554.48,427345.25,459433.11,False,False,False,False
2022-03-21,3518.0,76.267,10486712.5,156400.0,14722350.65,8027150.76,11512461.71,13930391.83,False,False,False,False,457360.59,387424.99,427900.46,454118.48,False,False,False,False
2022-03-22,3550.5,76.1198,2473893.5,-147200.0,15513303.91,8442198.46,11984331.64,14702010.86,False,False,False,False,444324.23,388220.63,430066.26,441444.58,False,False,False,False
2022-03-23,3560.0,76.4383,726163.85,318500.0,14369117.58,8506193.46,12082388.62,13574675.17,False,False,False,False,430794.9,387720.79,423726.1,427577.34,False,False,False,False
2022-03-24,3664.0,76.4064,7946265.6,-31900.0,13243898.54,8539102.03,12150989.33,12471103.43,False,False,False,False,444083.8,390567.48,428310.74,436795.41,False,False,False,False
2022-03-25,3583.0,76.1893,-6171333.3,-217100.0,13431204.45,8824591.49,12614470.01,12665069.07,False,False,False,False,425512.08,390418.33,421531.91,418986.4,False,False,False,False
2022-03-28,3606.0,76.1285,1750955.5,-60800.0,12421968.27,8616935.46,12368113.39,11765719.29,False,False,False,False,421186.8,377391.44,417123.44,412710.21,False,False,False,False
2022-03-29,3583.0,75.7497,-1742243.1,-378800.0,11475419.95,8666642.36,12433664.09,10848364.0,False,False,False,False,406175.67,375965.06,416947.47,397344.02,False,True,False,False
2022-03-30,3508.0,75.8404,-5688030.0,90700.0,10442572.26,8570420.31,12296873.81,9856065.98,False,False,False,False,432560.49,375395.9,417932.94,417443.12,False,False,False,False
2022-03-31,3503.0,75.7896,-378948.0,-50800.0,10010649.43,8410551.63,12071282.14,9463136.15,False,False,False,False,417822.55,375962.35,413718.03,403530.14,False,False,False,False
2022-04-01,3483.0,75.9905,-1519810.0,200900.0,9163915.57,8392522.84,12012050.08,8649533.66,False,False,False,False,402814.05,361555.78,412983.35,388621.5,False,False,False,False
2022-04-04,3444.0,75.5275,-2945572.5,-463000.0,8019102.72,8361215.03,11978691.25,7489358.24,False,False,False,False,402498.02,362107.78,415370.36,386151.3,True,True,True,True
2022-04-05,3415.0,75.335,-2184715.0,-192500.0,7453251.31,8220193.52,11788628.95,6969228.85,False,False,False,False,448508.58,362950.17,419703.65,424924.13,False,False,False,False
2022-04-06,3443.5,75.8348,2161291.8,499800.0,6903430.73,8133211.52,11657901.69,6459161.81,False,False,False,False,437787.73,361130.37,419132.35,415944.08,False,False,False,False
2022-04-07,3346.0,75.9903,-7409054.25,155500.0,6590625.29,8253569.52,11800914.18,6174425.19,True,False,False,True,488697.39,364808.55,435106.88,461726.55,False,False,False,False
2022-04-08,3395.0,75.8577,3717027.3,-132600.0,7511012.73,8069004.65,11568297.26,7134476.2,False,False,False,False,470820.39,364213.85,437250.19,448216.38,False,False,False,False
2022-04-11,3234.5,75.8794,-12178643.7,21700.0,7376756.31,8174527.45,11739743.42,7048591.38,True,True,True,True,452469.98,363776.43,432428.6,433482.14,False,False,False,False
2022-04-12,3214.5,76.1702,-1523404.0,290800.0,9896179.05,7884898.5,11455997.07,9504029.65,False,False,False,False,432782.64,358838.84,432055.97,416311.47,False,False,False,False
2022-04-13,3207.0,76.1851,-571388.25,14900.0,9038892.03,7863881.18,11433224.68,8666035.44,False,False,False,False,440687.45,359130.29,432936.39,422587.67,False,False,False,False
2022-04-14,3237.5,76.1298,2321958.9,-55300.0,8233104.78,7846920.32,11397784.85,7882066.92,False,False,False,False,422642.32,357808.28,430682.55,406249.04,False,False,False,False
2022-04-19,3312.0,76.4638,5696553.1,334000.0,7857947.16,7916469.4,11440196.31,7478070.8,False,False,False,False,407024.97,356057.52,430529.98,390997.47,False,False,False,False
2022-04-20,3240.0,76.3018,-5493729.6,-162000.0,8236842.14,8149565.48,11806793.99,7851328.95,False,False,False,False,427536.42,356667.97,438209.17,407380.49,False,False,False,False
2022-04-21,3262.0,76.2056,1676523.2,-96200.0,8120676.21,7975566.14,11567710.04,7747804.07,False,False,False,False,417907.54,356253.3,435814.98,398021.33,False,False,False,False
2022-04-22,3244.0,76.4485,-1376073.0,242900.0,7583530.24,8019960.21,11632175.52,7223515.37,False,False,False,False,405101.17,355344.28,434110.91,385483.79,False,False,False,False
2022-04-25,3090.0,76.6062,-11797354.8,157700.0,7004781.74,8002393.52,11597913.12,6678195.51,True,True,True,True,410481.29,356702.93,438247.04,388963.64,False,False,False,False
2022-04-26,3102.5,76.566,957075.0,-40200.0,9402437.54,7731468.89,11334585.48,9029953.16,False,False,False,False,404789.37,357634.19,438022.32,382696.11,False,False,False,False
2022-04-27,3100.0,76.6045,-191511.25,38500.0,8665217.65,7748753.89,11376184.03,8302459.98,False,False,False,False,392105.09,355007.28,437853.57,369893.08,False,False,False,False
2022-04-28,3065.5,76.6495,-2644407.75,45000.0,7949632.37,7745309.06,11359287.77,7601157.03,False,False,False,False,381608.55,355200.35,432153.52,358514.42,False,False,False,False
2022-04-29,3039.0,76.5066,-2027424.9,-142900.0,7409693.88,7667769.82,11253143.97,7077133.6,False,False,False,False,372902.94,354922.73,432385.67,348319.85,False,False,False,False
2022-05-03,2911.5,76.5839,-9764447.25,77300.0,6963577.03,7589363.01,11133470.48,6615544.84,True,True,False,True,369109.88,354572.1,432514.08,341881.96,False,False,False,False
2022-05-04,2929.0,76.3493,1336112.75,-234600.0,8449758.86,7340260.71,10865629.51,8088535.21,False,False,False,False,363421.4,354738.56,431849.94,334250.29,False,False,False,False
2022-05-05,2917.0,76.2855,-915426.0,-63800.0,7853695.82,7352678.41,10892267.58,7497536.78,False,False,False,False,373356.36,353502.95,431627.22,340937.99,False,False,False,False
2022-05-06,2832.5,76.9139,-6499224.55,628400.0,7234428.63,7304786.13,10800808.4,6889707.15,False,False,False,False,365598.65,352877.02,431467.02,332159.71,False,False,False,False
2022-05-09,2708.0,77.4141,-9638055.45,500200.0,7639837.6,7181261.07,10568565.81,7299289.25,True,True,False,True,475341.0,361782.47,455183.08,432488.23,False,False,False,False
2022-05-10,2677.0,77.2622,-2395128.2,-151900.0,8825641.59,6948590.8,10364648.98,8459254.81,False,False,False,False,517031.2,367824.07,469805.29,474537.94,False,False,False,False
2022-05-11,2737.0,77.2231,4633386.0,-39100.0,8163594.68,6845094.2,10201336.31,7807102.61,False,False,False,False,494128.57,367126.03,465707.06,458529.52,False,False,False,False
2022-05-12,2688.0,77.5048,-3797735.2,281700.0,8199059.54,7010528.23,10355584.71,7833714.73,False,False,False,False,469639.64,365509.65,465284.7,439690.09,False,False,False,False
2022-05-13,2723.0,77.4497,2710739.5,-55100.0,7799143.89,6919579.7,10136519.16,7442724.83,False,False,False,False,470257.96,367953.69,465144.47,442102.71,False,False,False,False
2022-05-16,2791.0,77.7979,5290257.2,348200.0,7496641.25,7009485.28,10214273.14,7154715.18,False,False,False,False,449159.88,366169.13,462522.28,424919.1,False,False,False,False
2022-05-17,2836.0,77.4609,3485740.5,-337000.0,7826999.91,7212759.14,10544613.05,7474855.29,False,False,False,False,464509.48,369277.34,467828.98,439123.5,False,False,False,False
2022-05-18,2845.0,77.5877,698289.3,126800.0,7623234.38,7305768.14,10692918.56,7273899.22,False,False,False,False,471290.61,369227.52,470991.99,446053.32,False,False,False,False
2022-05-19,2826.0,77.6356,-1475076.4,47900.0,7106793.34,7340554.54,10741691.36,6768937.98,False,False,False,False,454677.6,369363.12,461590.6,432523.21,False,False,False,False
2022-05-20,2931.0,77.6796,8156358.0,44000.0,6609725.86,7235493.66,10681095.42,6287920.83,False,False,False,False,436325.01,369562.36,461137.5,416463.59,False,False,False,False
2022-05-23,2963.0,77.5678,2482169.6,-111800.0,8079226.89,7549217.45,11121968.21,7739606.82,False,False,False,False,420099.44,369379.75,461386.05,401372.7,False,False,False,False
2022-05-24,2881.0,77.5979,-6363027.8,30100.0,7703523.9,7622752.5,11152570.69,7371566.57,False,False,False,False,408726.93,369029.98,460289.82,389700.87,False,False,False,False
2022-05-25,2829.5,77.5775,-3995241.25,-20400.0,7885096.02,7438104.56,10587453.89,7553958.8,False,False,False,False,396331.91,368812.35,413311.16,376710.65,False,False,False,False
2022-05-26,2825.5,77.5979,-310391.6,20400.0,7551487.18,7313137.87,10190912.45,7230755.81,False,False,False,False,385383.48,368665.09,407579.56,364469.29,False,False,False,False
2022-05-27,2823.0,77.5895,-193973.75,-8400.0,6997951.46,7285218.2,10096931.01,6691655.83,False,False,False,False,376271.87,366720.47,402432.63,353481.08,False,False,False,False
2022-05-30,2863.0,77.5502,3102008.0,-39300.0,6472034.29,7275755.49,10068563.54,6183898.76,False,False,False,False,365795.53,365969.54,399948.92,340761.19,False,False,False,False
2022-05-31,2816.5,77.6916,-3612659.4,141400.0,6375470.14,7363145.28,10123671.11,6093317.08,False,False,False,False,359442.0,365288.57,399363.92,331657.71,False,False,False,False
2022-06-01,2701.5,77.5308,-8916042.0,-160800.0,6220382.83,7262142.24,9883206.91,5949527.49,True,True,False,True,361186.13,366147.44,398785.26,329949.64,False,False,False,False
2022-06-06,2742.0,77.6105,3143225.25,79700.0,7599896.25,7010157.06,9532211.63,7304414.48,False,False,False,False,362160.99,365016.56,392338.8,328081.09,False,False,False,False
2022-06-07,2715.0,77.7274,-2098639.8,116900.0,7406371.35,7127484.64,9585454.04,7112605.5,False,False,False,False,358329.45,365368.16,372476.04,322083.44,False,False,False,False
2022-06-08,2765.5,77.6739,3922531.95,-53500.0,6932185.64,7068996.18,7541130.81,6651608.49,False,False,False,False,357904.11,366034.94,372924.65,319254.61,False,False,False,False
2022-06-09,2752.5,77.7492,-1010739.6,75300.0,6961783.87,7206611.64,7711186.31,6679383.0,False,False,False,False,353110.7,365512.38,359844.81,312536.3,False,False,False,False
2022-06-10,2695.0,77.8365,-4475598.75,87300.0,6477865.98,7178209.81,7685264.76,6210421.52,False,False,False,False,350663.53,365914.49,356017.7,307944.36,False,False,False,False
2022-06-13,2589.5,78.0545,-8234749.75,218000.0,6445360.38,7050152.46,7549260.03,6188720.36,True,True,True,True,346941.04,366259.75,356378.53,301177.11,False,False,False,False
2022-06-14,2588.0,78.032,-117048.0,-22500.0,7468007.28,6833963.57,7417387.08,7182613.52,False,False,False,False,360802.39,367792.03,358747.28,312616.36,False,False,False,False
