date,in_window,trade_id,leg_id,new_deal,lme_flat,cross_exchange_basis,grade_spread,freight,fx,demurrage_penalty,roll_term_structure,daily_pnl_inr
2022-03-22,True,T01,MCX:T01-MCX-2,0.0,-1347002.44,0.0,0.0,0.0,284017.88,0.0,15148.2,-1047836.36
2022-03-22,True,T01,PURCHASE:L1,0.0,0.0,0.0,0.0,0.0,289719.09,0.0,10897.98,300617.06
2022-03-22,True,T01,PURCHASE:L2,0.0,0.0,0.0,0.0,0.0,289872.14,0.0,9910.57,299782.71
2022-03-22,True,T01,PURCHASE:L3,0.0,0.0,0.0,0.0,0.0,289948.66,0.0,9416.54,299365.2
2022-03-22,True,T02,BILL_COMMISSION:L1,0.0,-1091.68,0.0,0.0,0.0,230.26,0.0,35.11,-826.32
2022-03-22,True,T02,BILL_COMMISSION:L2,0.0,-1092.44,0.0,0.0,0.0,230.46,0.0,54.5,-807.48
2022-03-22,True,T02,DUTY:L1,0.0,-26338.55,0.0,0.0,0.0,0.0,0.0,3491.25,-22847.29
2022-03-22,True,T02,DUTY:L2,0.0,-26338.55,0.0,0.0,0.0,0.0,0.0,3491.25,-22847.29
2022-03-22,True,T02,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3193.38,-3193.38
2022-03-22,True,T02,INSURANCE:L1,0.0,-1045.1,0.0,0.0,0.0,220.43,0.0,44.92,-779.75
2022-03-22,True,T02,INSURANCE:L2,0.0,-1045.84,0.0,0.0,0.0,220.63,0.0,63.49,-761.72
2022-03-22,True,T02,LC_FEES,0.0,-3339.91,0.0,0.0,0.0,704.45,0.0,2635.46,0.0
2022-03-22,True,T02,LC_USANCE_FEE:L1,0.0,-1896.6,0.0,0.0,0.0,400.03,0.0,79.92,-1416.65
2022-03-22,True,T02,LC_USANCE_FEE:L2,0.0,-1897.94,0.0,0.0,0.0,400.38,0.0,113.63,-1383.93
2022-03-22,True,T02,MCX:T02-MCX-1,0.0,-993800.38,0.0,0.0,0.0,209544.59,0.0,-58305.87,-842561.65
2022-03-22,True,T02,MCX:T02-MCX-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69590.86,-69590.86
2022-03-22,True,T02,PSIC:L1,0.0,0.0,0.0,0.0,0.0,141.5,0.0,5.32,146.82
2022-03-22,True,T02,PSIC:L2,0.0,0.0,0.0,0.0,0.0,141.6,0.0,4.68,146.28
2022-03-22,True,T02,PURCHASE:L1,0.0,-957507.91,0.0,0.0,0.0,202136.85,0.0,123857.79,-631513.27
2022-03-22,True,T02,PURCHASE:L2,0.0,-958141.92,0.0,0.0,0.0,202270.67,0.0,123052.59,-632818.65
2022-03-22,True,T02,SALE:S1,0.0,2961250.16,0.0,0.0,0.0,-624384.91,0.0,-33301.8,2303563.45
2022-03-22,True,T02,USANCE_INTEREST:L1,0.0,-4667.61,0.0,0.0,0.0,984.49,0.0,9920.86,6237.74
2022-03-22,True,T02,USANCE_INTEREST:L2,0.0,-4670.86,0.0,0.0,0.0,985.34,0.0,10010.68,6325.17
2022-03-23,True,T01,BILL_COMMISSION:L1,0.0,0.0,0.0,0.0,0.0,-752.19,0.0,15.45,-736.74
2022-03-23,True,T01,BILL_COMMISSION:L2,0.0,0.0,0.0,0.0,0.0,-752.59,0.0,15.15,-737.44
2022-03-23,True,T01,BILL_COMMISSION:L3,0.0,0.0,0.0,0.0,0.0,-752.79,0.0,15.0,-737.8
2022-03-23,True,T01,FREIGHT:L1,0.0,0.0,0.0,0.0,0.0,-27764.23,0.0,505.69,-27258.54
2022-03-23,True,T01,FREIGHT:L2,0.0,0.0,0.0,0.0,0.0,-27781.49,0.0,492.7,-27288.79
2022-03-23,True,T01,FREIGHT:L3,0.0,0.0,0.0,0.0,0.0,-27783.95,0.0,490.85,-27293.11
2022-03-23,True,T01,FUNDING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11545.82,-11545.82
2022-03-23,True,T01,FX:T01-FX-4,0.0,0.0,0.0,0.0,0.0,83344.47,0.0,-1478.11,81866.36
2022-03-23,True,T01,INSURANCE:L1,0.0,0.0,0.0,0.0,0.0,-719.51,0.0,15.12,-704.38
2022-03-23,True,T01,INSURANCE:L2,0.0,0.0,0.0,0.0,0.0,-719.89,0.0,14.84,-705.06
2022-03-23,True,T01,INSURANCE:L3,0.0,0.0,0.0,0.0,0.0,-720.09,0.0,14.69,-705.39
2022-03-23,True,T01,INVENTORY:L1,0.0,436170.18,0.0,469681.14,0.0,667377.86,0.0,1364.83,1574594.0
2022-03-23,True,T01,INVENTORY:L2,0.0,436170.18,0.0,469681.14,0.0,667377.86,0.0,1364.83,1574594.0
2022-03-23,True,T01,INVENTORY:L3,0.0,436170.18,0.0,469681.14,0.0,667377.86,0.0,1364.83,1574594.0
2022-03-23,True,T01,MCX:T01-MCX-1,0.0,-785877.4,0.0,0.0,0.0,-1232233.45,0.0,30504.57,-1987606.28
