date,scope,trade_id,in_window,buyer_id,supplier_id,mtm_inr,cum_pnl_inr,cash_balance_inr,mcx_im_inr,lme_delta_inr_per_usd_t,lme_delta_mt,lme_delta_usd,lme_delta_physical_mt,lme_delta_mcx_mt,hedge_ratio_lme_frac,mcx_lots_open,mcx_basis_delta_inr_per_inr_kg,fx_delta_usd,fx_delta_physical_usd,fx_delta_forwards_usd,fx_delta_mcx_usd,hedge_ratio_fx_frac,customs_fx_delta_usd,freight_delta_inr_per_usd_t_jea_nsa,freight_delta_inr_per_usd_t_usec_mun,freight_open_mt_jea_nsa,freight_open_mt_usec_mun,freight_open_boxes,grade_delta_inr_per_0p01_zorba,grade_delta_inr_per_0p01_taint_tabor,grade_delta_inr_per_0p01_tense,grade_exposure_mt_zorba,grade_exposure_mt_taint_tabor,grade_exposure_mt_tense,spread_delta_inr_per_usd_t,inr_rate_delta_inr_per_bp,usd_rate_delta_inr_per_bp,wc_rate_delta_inr_per_bp,lme_fx_cross_inr,phys_purchased_mt,phys_sold_mt,unsold_mt,purchase_priced_frac,sale_priced_frac,buyer_receivable_inr,buyer_presettlement_inr,supplier_exposure_inr,days_past_due
2022-05-23,trade,T04,True,,SUP_USEC_02,213195941.26,-14229133.51,-237318064.93,10875910.03,37252.95,480.263,1423019.37,953.4715,-473.2084,0.496301,-87,-435000.0,1357790.69,2759907.3,0.0,-1402116.6,-0.0,-11246.77,0.0,0.0,0.0,0.0,0,0.0,3000941.39,0.0,0.0,1260.0,0.0,-73958.68,684.2,-1841.76,-65.02,4.54,1260.0,0.0,1260.0,1.0,0.0,0.0,0.0,0.0,0
2022-05-23,trade,T05,True,BUY_MUN_01,SUP_USEC_01,37981366.71,47077032.95,-4023817.66,13126098.31,417.42,5.3814,15945.03,576.495,-571.1136,0.990665,-105,1398600.0,4194030.53,1798146.42,4088093.8,-1692209.69,-2.273504,-120385.98,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32079.76,6204.89,-2315.58,-1.1,0.47,2100.0,2100.0,0.0,0.0,0.0,0.0,395770379.58,0.0,0
2022-05-23,trade,T06,True,,SUP_JEA_01,4733269.28,-17815260.43,-44445236.42,22001840.98,2051.29,26.4452,78357.06,983.7404,-957.2952,0.973118,-176,-880000.0,-1108864.09,57422.37,1670179.32,-2836465.77,,1547.92,0.0,0.0,0.0,0.0,0,3096209.37,0.0,0.0,1300.0,0.0,0.0,-76306.58,-778.98,-1526.4,-12.18,-0.0,0.0,0.0,1300.0,1.0,0.0,0.0,0.0,0.0,0
2022-05-24,book,BOOK,True,BOOK,BOOK,736933040.19,176186868.5,-751897117.49,34164629.58,-49036.77,-631.9342,-1820602.39,1369.5667,-2001.5009,1.461412,-281,83469.5,1936660.44,-473580.31,8176564.83,-5766324.09,17.265424,-204563.61,0.0,0.0,0.0,0.0,0,3027672.47,0.0,0.0,1300.0,0.0,0.0,-44697.86,4364.82,-4000.78,-206.0,-6.12,8280.0,8280.0,1300.0,0.793651,0.666667,636355288.67,628874751.65,18270307.22,0
2022-05-24,trade,T01,True,"BUY_MUN_01,BUY_RJK_01",SUP_USEC_01,167034000.0,58513280.3,-191097570.03,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.36,0.0,2520.0,2520.0,0.0,1.0,1.0,169260000.0,0.0,0.0,0
2022-05-24,trade,T02,True,BUY_JNPT_01,SUP_JEA_01,59241063.79,47755335.53,-46880772.64,0.0,-14553.11,-187.5452,-540317.58,-187.5452,0.0,0.0,0,0.0,218512.19,-2200221.09,2418733.29,0.0,1.099314,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,601.11,63.82,-64.76,-12.84,-1.83,1200.0,1200.0,0.0,0.761905,1.0,225595288.67,0.0,18270307.22,0
2022-05-24,trade,T03,True,BUY_JNPT_01,SUP_JEA_01,241500000.0,29173823.12,-252511215.87,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.18,0.0,1200.0,1200.0,0.0,1.0,1.0,241500000.0,0.0,0.0,0
2022-05-24,trade,T04,True,BUY_RJK_01,SUP_USEC_02,236159854.65,11578954.91,-223534911.77,0.0,-36726.26,-473.2893,-1363546.49,0.0,-473.2893,,0,-435130.5,-1363546.49,0.0,0.0,-1363546.49,,-86910.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1067.45,0.0,-61.24,-4.73,1260.0,1260.0,0.0,1.0,1.0,0.0,246330000.0,0.0,0
2022-05-24,trade,T05,True,BUY_MUN_01,SUP_USEC_01,33989566.35,46683719.13,-64306.19,12766142.72,412.2,5.312,15303.79,576.3519,-571.0399,0.990783,-105,1398600.0,4184133.39,1741494.14,4087805.26,-1645166.01,-2.347298,-117211.52,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30805.95,6050.11,-2433.23,-0.02,0.46,2100.0,2100.0,0.0,0.0,0.0,0.0,382544751.65,0.0,0
2022-05-24,trade,T06,True,,SUP_JEA_01,-991444.6,-17518244.48,-37808341.0,21398486.85,1830.4,23.5883,67957.89,980.76,-957.1717,0.975949,-176,-880000.0,-1102438.66,-14853.35,1670026.28,-2757611.59,,-441.85,0.0,0.0,0.0,0.0,0,3027672.47,0.0,0.0,1300.0,0.0,0.0,-76104.91,-681.65,-1502.8,-10.36,-0.03,0.0,0.0,1300.0,1.0,0.0,0.0,0.0,0.0,0
