date,value,unit,wow_pct_change_published,wow_usd_change_published,url,archive_url,archived,retrieved
2021-10-07,10129.72,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.022000000000000002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211012084017/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-10-12,2026-09-16
2021-10-14,9900.25,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.023,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211019050910/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-10-19,2026-09-16
2021-10-21,9865.14,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.004,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211026102919/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-10-26,2026-09-16
2021-10-28,9669.47,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.02,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211103125502/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-11-03,2026-09-16
2021-11-04,9195.41,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.049,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211109151418/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-11-09,2026-09-16
2021-11-11,9192.5,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.0,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211117153304/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-11-17,2026-09-16
2021-11-18,9146.41,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.005,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211124025207/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-11-24,2026-09-16
2021-11-25,9186.39,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.0,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211130171337/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-11-30,2026-09-16
2021-12-02,9050.77,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.015,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211208140032/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-12-08,2026-09-16
2021-12-09,9262.02,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.023,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211214083011/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-12-14,2026-09-16
2021-12-16,9292.39,"USD/FEU (Drewry WCI composite, assessed Thursday)",,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211221102910/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-12-21,2026-09-16
2021-12-23,9304.05,"USD/FEU (Drewry WCI composite, assessed Thursday)",,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20211228015930/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2021-12-28,2026-09-16
2022-01-06,9408.81,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.011000000000000001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220112103127/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-01-12,2026-09-16
2022-01-13,9544.66,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.013999999999999999,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220116072249/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-01-16,2026-09-16
2022-01-20,9698.33,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.016,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220124235239/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-01-24,2026-09-16
2022-01-27,9419.5,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.028999999999999998,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220128213655/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-01-28,2026-09-16
2022-02-10,9359.1,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220216065459/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry?te=1&nl=paul-krugman&emc=edit_pk_20220216,2022-02-16,2026-09-16
2022-02-17,9378.51,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220222164831/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-02-22,2026-09-16
2022-02-24,9477.46,"USD/FEU (Drewry WCI composite, assessed Thursday)",0.011000000000000001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220302112454/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-03-02,2026-09-16
2022-03-03,9279.46,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.021,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220306133740/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-03-06,2026-09-16
2022-03-10,9179.98,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.011000000000000001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220315202137/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-03-15,2026-09-16
2022-03-17,8832.23,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.038,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220322004244/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-03-22,2026-09-16
2022-03-24,8470.45,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.040999999999999995,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220329184125/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-03-29,2026-09-16
2022-03-31,8152.09,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.038,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220406083604/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-04-06,2026-09-16
2022-04-07,8041.5,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.013999999999999999,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220412104953/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-04-12,2026-09-16
2022-04-14,7945.31,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.012,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220418125349/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-04-18,2026-09-16
2022-04-21,7874.43,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.009000000000000001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220423085014/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-04-23,2026-09-16
2022-05-05,7727.84,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.005,,https://www.ajot.com/news/world-container-index-may-5th,,,2026-09-16
2022-05-19,7648.18,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220519230647/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-05-19,2026-09-16
2022-05-26,7635.28,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.002,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220531070233/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-05-31,2026-09-16
2022-06-02,7625.56,"USD/FEU (Drewry WCI composite, assessed Thursday)",-0.001,,https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,https://web.archive.org/web/20220604185531/https://www.drewry.co.uk/supply-chain-advisors/supply-chain-expertise/world-container-index-assessed-by-drewry,2022-06-04,2026-09-16
